ID,LOCALITY,ZIPCODE,CITY
1,SAGAR ROAD,500042,HYDERABAD
2,SAI NAGAR,500072,HYDERABAD
3,SAIDABAD,500073,HYDERABAD
4,SAIFABAD,500038,HYDERABAD
5,SALEEM NAGAR,500041,HYDERABAD
6,SANATH NAGAR,500045,HYDERABAD
7,SANTOSH NAGAR,500047,HYDERABAD
8,SAROOR NAGAR,500049,HYDERABAD
9,SEBASTIAN ROAD,500051,HYDERABAD
10,SECRETARIAT,500053,HYDERABAD
11,SEETHARAMBAGH,500055,HYDERABAD
12,SERILINGAMPALLY,500057,HYDERABAD
13,SHAH ALI BANDA,500059,HYDERABAD
14,SHAHPUR NAGAR,500061,HYDERABAD
15,SHAIKPET,500063,HYDERABAD
16,SHAHPUR NAGAR,500065,HYDERABAD
17,SHAMSHERGUNJ,500067,HYDERABAD
18,SHANKER BAGH,500069,HYDERABAD
19,SHANKER MUTT,500071,HYDERABAD
20,SHANTI NAGAR,500073,HYDERABAD
21,SHIVAM ROAD,500075,HYDERABAD
22,SHIVARAMPALLY,500077,HYDERABAD
23,SIDDARTH NAGAR,500079,HYDERABAD
24,SIDDIAMBER BAZAR,500081,HYDERABAD
25,SIKH ROAD,500083,HYDERABAD
26,SIKH VILLAGE,500085,HYDERABAD
27,SIKH VILLAGE ROAD,500087,HYDERABAD
28,SINDHI COLONY,500089,HYDERABAD
29,SITAPHAL MANDI,500091,HYDERABAD
30,SOMAJIGUDA,500093,HYDERABAD
31,SOMAJIGUDA CIRCLE,500095,HYDERABAD
32,SRI KRISHNA NAGAR,500097,HYDERABAD
33,SRI SRINIVAS COLONY,500099,HYDERABAD
34,SRINAGAR,500101,HYDERABAD
35,SRINAGAR COLONY MAIN ROAD,500103,HYDERABAD
36,SRINIVASA COLONY,500105,HYDERABAD
37,SRINIVASA NAGAR,500107,HYDERABAD
38,SRINIVASA NAGAR COLONY,500109,HYDERABAD
39,ST. JOHNS ROAD,500111,HYDERABAD
40,ST. MARYS ROAD,500113,HYDERABAD
41,SUBASH ROAD,500115,HYDERABAD
42,SULTAN BAZAR,500117,HYDERABAD
43,SURYA NAGAR COLONY,500119,HYDERABAD
44,SHAPUR NAGAR,500121,HYDERABAD
45,SHIVAJI NAGAR,500123,HYDERABAD
46,TAD BUND,500125,HYDERABAD
47,TAD BUND X ROAD,500127,HYDERABAD
48,TALAB KATTA,500129,HYDERABAD
49,TALABKATTA,500131,HYDERABAD
50,TANK BUND,500133,HYDERABAD
51,TANK BUND ROAD,500135,HYDERABAD
52,TAR BUND,500137,HYDERABAD
53,TAR BUND X ROAD,500139,HYDERABAD
54,TARANAGAR,500141,HYDERABAD
55,TARNAKA,500143,HYDERABAD
56,TILAK NAGAR,500145,HYDERABAD
57,TILAK ROAD,500147,HYDERABAD
58,TOBACCO BAZAR,500149,HYDERABAD
59,TOLI CHOWKI,500151,HYDERABAD
60,TOPKHANA,500153,HYDERABAD
61,TRIMULGHERRY,500155,HYDERABAD
62,TRIMULGHERRY X ROAD,500157,HYDERABAD
63,TROOP BAZAR,500159,HYDERABAD
64,UPPAL,500161,HYDERABAD
65,UPPUGUDA,500163,HYDERABAD
66,VANASTHALIPURAM,500165,HYDERABAD
67,VASAVI NAGAR,500167,HYDERABAD
68,VENGAL RAO NAGAR,500169,HYDERABAD
69,VENKATAPURAM,500171,HYDERABAD
70,VIDYANAGAR,500173,HYDERABAD
71,VIJAY NAGAR COLONY,500175,HYDERABAD
72,VIKAS NAGAR,500177,HYDERABAD
73,VIKRAMPURI,500179,HYDERABAD
74,VIKRAMPURI COLONY,500181,HYDERABAD
75,VINAYAK RAO NAGAR,500183,HYDERABAD
76,VITHALWADI,500185,HYDERABAD
77,WARASIGUDA,500187,HYDERABAD
78,WEST MARREDPALLY,500189,HYDERABAD
79,YAKUTPURA,500191,HYDERABAD
80,YAPRAL,500193,HYDERABAD
81,YELLAREDDY GUDA,500195,HYDERABAD
82,YELLAREDDYGUDA,500197,HYDERABAD
83,YOUSUF BAZAR,500199,HYDERABAD
84,YOUSUFGUDA,500201,HYDERABAD
