BillingId,Customer_id,Amount,Date,Year
1,1,572.6063063,01-01-2016,2016
2,1,907.9945727,01-02-2016,2016
3,1,141.6280375,01-03-2016,2016
4,1,755.449598,01-04-2016,2016
5,1,621.5129159,01-05-2016,2016
6,1,346.0305858,01-06-2016,2016
7,1,51.10799763,01-07-2016,2016
8,1,257.5850478,01-08-2016,2016
9,1,150.5481506,01-09-2016,2016
10,2,973.8895719,01-01-2016,2016
11,2,248.0852833,01-02-2016,2016
12,2,505.9554458,01-03-2016,2016
13,2,951.3680842,01-04-2016,2016
14,2,977.4852652,01-05-2016,2016
15,2,739.5422613,01-06-2016,2016
16,2,207.6358416,01-07-2016,2016
17,2,933.4696699,01-08-2016,2016
18,2,979.6504124,01-09-2016,2016
19,3,69.0404147,01-01-2016,2016
20,3,608.8741488,01-02-2016,2016
21,3,934.2501523,01-03-2016,2016
22,3,247.0729844,01-04-2016,2016
23,3,837.4334216,01-05-2016,2016
24,3,318.6370048,01-06-2016,2016
25,3,225.1650516,01-07-2016,2016
26,3,470.7972802,01-08-2016,20165
27,3,316.3772666,01-09-2016,2016
28,4,225.7319373,01-01-2016,2016
29,4,320.9052859,01-02-2016,2016
30,4,406.5960278,01-03-2016,2016
31,4,135.7656168,01-04-2016,2016
32,4,692.7860395,01-05-2016,2016
33,4,367.2144249,01-06-2016,2016
34,4,127.7688736,01-07-2016,2016
35,4,563.6635018,01-08-2016,2016
36,4,445.2828146,01-09-2016,2016
37,5,757.6046423,01-01-2016,2016
38,5,622.8106392,01-02-2016,2016
39,5,387.5748639,01-03-2016,2016
40,5,340.4530184,01-04-2016,2016
41,5,200.7801786,01-05-2016,2016
42,5,645.3633219,01-06-2016,2016
43,5,892.3933454,01-07-2016,2016
44,5,293.1302437,01-08-2016,2016
45,5,717.3746701,01-09-2016,2016
46,6,723.3921962,01-01-2016,2016
47,6,938.818433,01-02-2016,2016
48,6,893.1804076,01-03-2016,2016
49,6,839.5162883,01-04-2016,2016
50,6,959.5163474,01-05-2016,2016
51,6,593.3647596,01-06-2016,2016
52,6,369.483573,01-07-2016,2016
53,6,354.5391898,01-08-2016,2016
54,6,363.6145102,01-09-2016,2016
55,7,660.4730613,01-01-2016,2016
56,7,648.7672968,01-02-2016,2016
57,7,164.7785575,01-03-2016,2016
58,7,560.6411065,01-04-2016,2016
59,7,858.8288578,01-05-2016,2016
60,7,733.2303315,01-06-2016,2016
61,7,415.4419358,01-07-2016,2016
62,7,699.7017425,01-08-2016,2016
63,7,587.793212,01-09-2016,2016
64,8,175.165295,01-01-2016,2016
65,8,578.8851023,01-02-2016,2016
66,8,631.6017669,01-03-2016,2016
67,8,874.258459,01-04-2016,2016
68,8,920.9206912,01-05-2016,2016
69,8,270.9772896,01-06-2016,2016
70,8,823.7217711,01-07-2016,2016
71,8,514.6207686,01-08-2016,2016
72,8,469.1957962,01-09-2016,2016
73,9,873.8159986,01-01-2016,2016
74,9,813.1476221,01-02-2016,2016
75,9,297.303745,01-03-2016,2016
76,9,375.3506494,01-04-2016,2016
77,9,367.5078868,01-05-2016,2016
78,9,637.9276694,01-06-2016,2016
79,9,343.199497,01-07-2016,2016
80,9,955.386339,01-08-2016,2016
81,9,707.9347418,01-09-2016,2016
82,10,19.19159858,01-01-2016,2016
83,10,565.8878407,01-02-2016,2016
84,10,878.3657909,01-03-2016,2016
85,10,361.2816795,01-04-2016,2016
86,10,119.2159581,01-05-2016,2016
87,10,298.6290294,01-06-2016,2016
88,10,692.24052,01-07-2016,2016
89,10,797.3863353,01-08-2016,2016
90,10,364.8313007,01-09-2016,2016
91,11,205.1986605,01-01-2016,2016
92,11,47.82421555,01-02-2016,2016
93,11,428.466954,01-03-2016,2016
94,11,326.0865973,01-04-2016,2016
95,11,235.0307568,01-05-2016,2016
96,11,280.4738004,01-06-2016,2016
97,11,914.2713743,01-07-2016,2016
98,11,82.58456566,01-08-2016,2016
99,11,291.9716255,01-09-2016,2016
100,12,882.8471407,01-01-2016,2016
101,12,737.6957675,01-02-2016,2016
102,12,349.7800714,01-03-2016,2016
103,12,884.404303,01-04-2016,2016
104,12,22.86133107,01-05-2016,2016
105,12,579.4901035,01-06-2016,2016
106,12,488.9208465,01-07-2016,2016
107,12,685.315792,01-08-2016,2016
108,12,920.3829016,01-09-2016,2016
109,13,324.6328136,01-01-2016,2016
110,13,375.5511948,01-02-2016,2016
111,13,435.7528174,01-03-2016,2016
112,13,211.2801235,01-04-2016,2016
113,13,252.5085513,01-05-2016,2016
114,13,382.9543006,01-06-2016,2016
115,13,299.741232,01-07-2016,2016
116,13,902.133575,01-08-2016,2016
117,13,45.26394905,01-09-2016,2016
118,14,712.6669053,01-01-2016,2016
119,14,922.5944679,01-02-2016,2016
120,14,809.3060343,01-03-2016,2016
121,14,313.781304,01-04-2016,2016
122,14,808.7765924,01-05-2016,2016
123,14,217.3538405,01-06-2016,2016
124,14,358.7351767,01-07-2016,2016
125,14,771.2702077,01-08-2016,2016
126,14,840.7365342,01-09-2016,2016
127,15,849.9436767,01-01-2016,2016
128,15,650.291799,01-02-2016,2016
129,15,244.1975045,01-03-2016,2016
130,15,846.6818759,01-04-2016,2016
131,15,139.6479843,01-05-2016,2016
132,15,79.53103973,01-06-2016,2016
133,15,697.6463671,01-07-2016,2016
134,15,756.1926072,01-08-2016,2016
135,15,45.51718375,01-09-2016,2016
136,16,372.1630917,01-01-2016,2016
137,16,264.3152709,01-02-2016,2016
138,16,180.5617551,01-03-2016,2016
139,16,193.8760632,01-04-2016,2016
140,16,808.1911848,01-05-2016,2016
141,16,517.5762986,01-06-2016,2016
142,16,118.5727819,01-07-2016,2016
143,16,837.8720373,01-08-2016,2016
144,16,398.0889766,01-09-2016,2016
145,17,569.4503006,01-01-2016,2016
146,17,848.8389033,01-02-2016,2016
147,17,286.3100836,01-03-2016,2016
148,17,766.2290404,01-04-2016,2016
149,17,401.1872363,01-05-2016,2016
150,17,395.7498792,01-06-2016,2016
151,17,255.532365,01-07-2016,2016
152,17,795.2661399,01-08-2016,2016
153,17,703.8014813,01-09-2016,2016
154,18,544.45917,01-01-2016,2016
155,18,132.9894198,01-02-2016,2016
156,18,276.1290975,01-03-2016,2016
157,18,110.5765069,01-04-2016,2016
158,18,195.0597694,01-05-2016,2016
159,18,863.3635174,01-06-2016,2016
160,18,631.9171253,01-07-2016,2016
161,18,150.2997552,01-08-2016,2016
162,18,207.2868562,01-09-2016,2016
163,19,237.7324483,01-01-2016,2016
164,19,982.6538136,01-02-2016,2016
165,19,516.986455,01-03-2016,2016
166,19,931.5748255,01-04-2016,2016
167,19,28.18471219,01-05-2016,2016
168,19,208.5706985,01-06-2016,2016
169,19,466.447851,01-07-2016,2016
170,19,828.811956,01-08-2016,2016
171,19,658.2942395,01-09-2016,2016
172,20,551.8092705,01-01-2016,2016
173,20,15.43886242,01-02-2016,2016
174,20,974.876606,01-03-2016,2016
175,20,108.7497499,01-04-2016,2016
176,20,842.5282178,01-05-2016,2016
177,20,260.4333062,01-06-2016,2016
178,20,414.8680467,01-07-2016,2016
179,20,872.3584383,01-08-2016,2016
180,20,111.8860391,01-09-2016,2016
181,21,393.189318,01-01-2016,2016
182,21,802.378076,01-02-2016,2016
183,21,114.5909131,01-03-2016,2016
184,21,210.0444844,01-04-2016,2016
185,21,593.1117243,01-05-2016,2016
186,21,835.6447988,01-06-2016,2016
187,21,163.237476,01-07-2016,2016
188,21,446.6187834,01-08-2016,2016
189,21,663.6595884,01-09-2016,2016
190,22,175.7513888,01-01-2016,2016
191,22,949.8949739,01-02-2016,2016
192,22,732.4678908,01-03-2016,2016
193,22,451.0523344,01-04-2016,2016
194,22,824.088526,01-05-2016,2016
195,22,274.965146,01-06-2016,2016
196,22,780.0646588,01-07-2016,2016
197,22,676.3917471,01-08-2016,2016
198,22,418.1652346,01-09-2016,2016
199,23,314.5925633,01-01-2016,2016
200,23,669.7366964,01-02-2016,2016
201,23,756.8206005,01-03-2016,2016
202,23,904.1067664,01-04-2016,2016
203,23,263.79305,01-05-2016,2016
204,23,88.66722043,01-06-2016,2016
205,23,743.2302669,01-07-2016,2016
206,23,236.8766514,01-08-2016,2016
207,23,967.2140323,01-09-2016,2016
208,24,303.6341499,01-01-2016,2016
209,24,686.565751,01-02-2016,2016
210,24,382.5579083,01-03-2016,2016
211,24,996.2902239,01-04-2016,2016
212,24,24.6943865,01-05-2016,2016
213,24,407.0818165,01-06-2016,2016
214,24,560.4730122,01-07-2016,2016
215,24,961.124542,01-08-2016,2016
216,24,852.5758062,01-09-2016,2016
217,25,268.88712,01-01-2016,2016
218,25,22.35312009,01-02-2016,2016
219,25,287.5526381,01-03-2016,2016
220,25,722.869135,01-04-2016,2016
221,25,81.66670253,01-05-2016,2016
222,25,135.8167451,01-06-2016,2016
223,25,910.8492686,01-07-2016,2016
224,25,974.6185814,01-08-2016,2016
225,25,991.2836243,01-09-2016,2016
226,26,58.66642602,01-01-2016,2016
227,26,721.2709,01-02-2016,2016
228,26,240.7773662,01-03-2016,2016
229,26,524.9640846,01-04-2016,2016
230,26,189.6617881,01-05-2016,2016
231,26,669.7551303,01-06-2016,2016
232,26,748.6095907,01-07-2016,2016
233,26,485.2870626,01-08-2016,2016
234,26,524.0955796,01-09-2016,2016
235,27,21.30074894,01-01-2016,2016
236,27,80.31746704,01-02-2016,2016
237,27,661.3835082,01-03-2016,2016
238,27,963.784919,01-04-2016,2016
239,27,995.5836231,01-05-2016,2016
240,27,153.3693496,01-06-2016,2016
241,27,230.700127,01-07-2016,2016
242,27,649.6821965,01-08-2016,2016
243,27,163.3222819,01-09-2016,2016
244,28,15.88361786,01-01-2016,2016
245,28,500.6371739,01-02-2016,2016
246,28,381.438396,01-03-2016,2016
247,28,480.8690957,01-04-2016,2016
248,28,415.89698,01-05-2016,2016
249,28,975.1880046,01-06-2016,2016
250,28,482.2013713,01-07-2016,2016
251,28,414.4924491,01-08-2016,2016
252,28,458.2301487,01-09-2016,2016
253,29,91.87914768,01-01-2016,2016
254,29,639.8473449,01-02-2016,2016
255,29,350.2277625,01-03-2016,2016
256,29,329.7931463,01-04-2016,2016
257,29,460.0690604,01-05-2016,2016
258,29,198.9502622,01-06-2016,2016
259,29,824.6768811,01-07-2016,2016
260,29,414.1929981,01-08-2016,2016
261,29,680.0927686,01-09-2016,2016
262,30,46.89923681,01-01-2016,2016
263,30,598.4354415,01-02-2016,2016
264,30,948.8506015,01-03-2016,2016
265,30,739.0524453,01-04-2016,2016
266,30,859.8646861,01-05-2016,2016
267,30,744.2898081,01-06-2016,2016
268,30,85.79452294,01-07-2016,2016
269,30,582.2347302,01-08-2016,2016
270,30,43.57423365,01-09-2016,2016
271,31,410.7501124,01-01-2016,2016
272,31,262.5699706,01-02-2016,2016
273,31,606.463543,01-03-2016,2016
274,31,570.3769633,01-04-2016,2016
275,31,858.6102518,01-05-2016,2016
276,31,710.0741426,01-06-2016,2016
277,31,213.1816677,01-07-2016,2016
278,31,238.7797393,01-08-2016,2016
279,31,674.8533828,01-09-2016,2016
280,32,30.96803393,01-01-2016,2016
281,32,245.341481,01-02-2016,2016
282,32,735.9549758,01-03-2016,2016
283,32,416.349277,01-04-2016,2016
284,32,357.3365258,01-05-2016,2016
285,32,742.8636237,01-06-2016,2016
286,32,176.3135079,01-07-2016,2016
287,32,830.1554202,01-08-2016,2016
288,32,241.4408898,01-09-2016,2016
289,33,581.0144981,01-01-2016,2016
290,33,350.220143,01-02-2016,2016
291,33,756.5741042,01-03-2016,2016
292,33,780.8488645,01-04-2016,2016
293,33,205.1179953,01-05-2016,2016
294,33,762.7708626,01-06-2016,2016
295,33,545.7105246,01-07-2016,2016
296,33,348.3946579,01-08-2016,2016
297,33,546.2086451,01-09-2016,2016
298,34,433.3650744,01-01-2016,2016
299,34,739.1301442,01-02-2016,2016
300,34,29.41621508,01-03-2016,2016
301,34,593.9295477,01-04-2016,2016
302,34,186.3357246,01-05-2016,2016
303,34,135.5731539,01-06-2016,2016
304,34,935.737771,01-07-2016,2016
305,34,166.2573839,01-08-2016,2016
306,34,504.2147641,01-09-2016,2016
307,35,285.0138195,01-01-2016,2016
308,35,599.1556714,01-02-2016,2016
309,35,586.1246807,01-03-2016,2016
310,35,568.8217136,01-04-2016,2016
311,35,563.7037432,01-05-2016,2016
312,35,386.1196497,01-06-2016,2016
313,35,731.7303887,01-07-2016,2016
314,35,481.7802663,01-08-2016,2016
315,35,816.4880323,01-09-2016,2016
316,36,6.190178825,01-01-2016,2016
317,36,337.4841541,01-02-2016,2016
318,36,870.938177,01-03-2016,2016
319,36,924.5070094,01-04-2016,2016
320,36,793.2472431,01-05-2016,2016
321,36,703.3231847,01-06-2016,2016
322,36,332.329257,01-07-2016,2016
323,36,312.8202705,01-08-2016,2016
324,36,555.8846117,01-09-2016,2016
325,37,74.1011459,01-01-2016,2016
326,37,551.373063,01-02-2016,2016
327,37,78.06247802,01-03-2016,2016
328,37,719.1263164,01-04-2016,2016
329,37,160.7077978,01-05-2016,2016
330,37,804.7603676,01-06-2016,2016
331,37,610.3469481,01-07-2016,2016
332,37,687.1140704,01-08-2016,2016
333,37,286.4889258,01-09-2016,2016
334,38,776.3352505,01-01-2016,2016
335,38,618.6250333,01-02-2016,2016
336,38,674.7577811,01-03-2016,2016
337,38,733.9254377,01-04-2016,2016
338,38,844.1320361,01-05-2016,2016
339,38,0.288124133,01-06-2016,2016
340,38,964.063689,01-07-2016,2016
341,38,265.569216,01-08-2016,2016
342,38,803.9030661,01-09-2016,2016
343,39,895.9698736,01-01-2016,2016
344,39,908.1318324,01-02-2016,2016
345,39,339.6999552,01-03-2016,2016
346,39,962.8171787,01-04-2016,2016
347,39,833.2763453,01-05-2016,2016
348,39,424.3452805,01-06-2016,2016
349,39,693.2987248,01-07-2016,2016
350,39,700.8716619,01-08-2016,2016
351,39,24.36076461,01-09-2016,2016
352,40,355.9723672,01-01-2016,2016
353,40,682.5259909,01-02-2016,2016
354,40,260.1097667,01-03-2016,2016
355,40,14.66262224,01-04-2016,2016
356,40,253.8407032,01-05-2016,2016
357,40,941.1557332,01-06-2016,2016
358,40,642.7708147,01-07-2016,2016
359,40,487.2985766,01-08-2016,2016
360,40,499.7911458,01-09-2016,2016
361,41,157.919003,01-01-2016,2016
362,41,510.5098945,01-02-2016,2016
363,41,799.095213,01-03-2016,2016
364,41,611.277931,01-04-2016,2016
365,41,578.4441311,01-05-2016,2016
366,41,396.2057808,01-06-2016,2016
367,41,828.5465768,01-07-2016,2016
368,41,175.544313,01-08-2016,2016
369,41,323.418528,01-09-2016,2016
370,42,252.0150551,01-01-2016,2016
371,42,969.3349708,01-02-2016,2016
372,42,766.0771879,01-03-2016,2016
373,42,991.6196117,01-04-2016,2016
374,42,986.6927665,01-05-2016,2016
375,42,913.4623369,01-06-2016,2016
376,42,853.8499721,01-07-2016,2016
377,42,618.2954791,01-08-2016,2016
378,42,929.4607543,01-09-2016,2016
379,43,880.0324652,01-01-2016,2016
380,43,133.6563523,01-02-2016,2016
381,43,371.962697,01-03-2016,2016
382,43,951.0362686,01-04-2016,2016
383,43,176.1797287,01-05-2016,2016
384,43,443.0286688,01-06-2016,2016
385,43,683.8846746,01-07-2016,2016
386,43,734.0909959,01-08-2016,2016
387,43,553.980052,01-09-2016,2016
388,44,602.0729476,01-01-2016,2016
389,44,333.6213288,01-02-2016,2016
390,44,960.037988,01-03-2016,2016
391,44,723.7770798,01-04-2016,2016
392,44,485.9133454,01-05-2016,2016
393,44,67.57639987,01-06-2016,2016
394,44,355.9188027,01-07-2016,2016
395,44,95.33817078,01-08-2016,2016
396,44,707.9940455,01-09-2016,2016
397,45,415.1355093,01-01-2016,2016
398,45,129.5621288,01-02-2016,2016
399,45,45.71448189,01-03-2016,2016
400,45,41.50002385,01-04-2016,2016
401,45,98.00069532,01-05-2016,2016
402,45,161.2221467,01-06-2016,2016
403,45,273.4740528,01-07-2016,2016
404,45,39.59055299,01-08-2016,2016
405,45,955.3495716,01-09-2016,2016
406,46,245.7555647,01-01-2016,2016
407,46,350.697847,01-02-2016,2016
408,46,130.2188172,01-03-2016,2016
409,46,927.188359,01-04-2016,2016
410,46,382.1483613,01-05-2016,2016
411,46,970.9914482,01-06-2016,2016
412,46,733.0147812,01-07-2016,2016
413,46,446.4527279,01-08-2016,2016
414,46,571.044825,01-09-2016,2016
415,47,337.1491287,01-01-2016,2016
416,47,190.198522,01-02-2016,2016
417,47,310.473671,01-03-2016,2016
418,47,691.5287454,01-04-2016,2016
419,47,656.9397978,01-05-2016,2016
420,47,423.2689141,01-06-2016,2016
421,47,757.2069956,01-07-2016,2016
422,47,185.7998931,01-08-2016,2016
423,47,694.8950501,01-09-2016,2016
424,48,46.18929653,01-01-2016,2016
425,48,739.5234119,01-02-2016,2016
426,48,426.4180237,01-03-2016,2016
427,48,335.5919626,01-04-2016,2016
428,48,165.1175265,01-05-2016,2016
429,48,630.0774059,01-06-2016,2016
430,48,204.359426,01-07-2016,2016
431,48,368.8570307,01-08-2016,2016
432,48,532.832795,01-09-2016,2016
433,49,793.8013281,01-01-2016,2016
434,49,118.0634029,01-02-2016,2016
435,49,147.2575589,01-03-2016,2016
436,49,463.3946282,01-04-2016,2016
437,49,964.0978742,01-05-2016,2016
438,49,432.2572502,01-06-2016,2016
439,49,522.63111,01-07-2016,2016
440,49,2.323612924,01-08-2016,2016
441,49,143.5132179,01-09-2016,2016
442,50,335.0890297,01-01-2016,2016
443,50,862.6766553,01-02-2016,2016
444,50,353.6123036,01-03-2016,2016
445,50,649.0409458,01-04-2016,2016
446,50,529.9924076,01-05-2016,2016
447,50,440.4862375,01-06-2016,2016
448,50,75.95577011,01-07-2016,2016
449,50,301.0917975,01-08-2016,2016
450,50,131.5279844,01-09-2016,2016
451,51,304.2633711,01-01-2016,2016
452,51,591.0524937,01-02-2016,2016
453,51,894.6576824,01-03-2016,2016
454,51,541.0545527,01-04-2016,2016
455,51,114.3301149,01-05-2016,2016
456,51,429.3639916,01-06-2016,2016
457,51,826.3695272,01-07-2016,2016
458,51,619.2077731,01-08-2016,2016
459,51,58.36634925,01-09-2016,2016
460,52,115.5168177,01-01-2016,2016
461,52,189.6519705,01-02-2016,2016
462,52,781.1234083,01-03-2016,2016
463,52,979.3161427,01-04-2016,2016
464,52,82.45557817,01-05-2016,2016
465,52,945.8642189,01-06-2016,2016
466,52,466.9751017,01-07-2016,2016
467,52,241.5362574,01-08-2016,2016
468,52,555.7781828,01-09-2016,2016
469,53,812.7745912,01-01-2016,2016
470,53,404.9863778,01-02-2016,2016
471,53,930.5440173,01-03-2016,2016
472,53,701.3612982,01-04-2016,2016
473,53,942.6536383,01-05-2016,2016
474,53,967.7919641,01-06-2016,2016
475,53,738.9390383,01-07-2016,2016
476,53,597.6089702,01-08-2016,2016
477,53,319.9993605,01-09-2016,2016
478,54,643.3781798,01-01-2016,2016
479,54,474.7403202,01-02-2016,2016
480,54,875.1028739,01-03-2016,2016
481,54,331.5422201,01-04-2016,2016
482,54,732.1541759,01-05-2016,2016
483,54,89.86146221,01-06-2016,2016
484,54,530.2735469,01-07-2016,2016
485,54,192.2123109,01-08-2016,2016
486,54,166.4181894,01-09-2016,2016
487,55,670.1904584,01-01-2016,2016
488,55,603.7218409,01-02-2016,2016
489,55,786.2058555,01-03-2016,2016
490,55,340.6190622,01-04-2016,2016
491,55,846.98431,01-05-2016,2016
492,55,121.4875389,01-06-2016,2016
493,55,395.9936175,01-07-2016,2016
494,55,40.85177298,01-08-2016,2016
495,55,467.5138678,01-09-2016,2016
496,56,905.2708036,01-01-2016,2016
497,56,726.5737291,01-02-2016,2016
498,56,779.3590994,01-03-2016,2016
499,56,730.975648,01-04-2016,2016
500,56,390.1612517,01-05-2016,2016
501,56,808.9373586,01-06-2016,2016
502,56,70.59795877,01-07-2016,2016
503,56,844.3801859,01-08-2016,2016
504,56,180.2274113,01-09-2016,2016
505,57,231.9508647,01-01-2016,2016
506,57,102.0977496,01-02-2016,2016
507,57,836.8343023,01-03-2016,2016
508,57,689.4452448,01-04-2016,2016
509,57,410.9924655,01-05-2016,2016
510,57,155.1859709,01-06-2016,2016
511,57,740.932674,01-07-2016,2016
512,57,688.4409474,01-08-2016,2016
513,57,356.3096597,01-09-2016,2016
514,58,295.9013463,01-01-2016,2016
515,58,214.2235251,01-02-2016,2016
516,58,462.1432439,01-03-2016,2016
517,58,685.0225811,01-04-2016,2016
518,58,153.1926808,01-05-2016,2016
519,58,131.7464131,01-06-2016,2016
520,58,732.1947979,01-07-2016,2016
521,58,897.7501669,01-08-2016,2016
522,58,855.0572611,01-09-2016,2016
523,59,721.2633105,01-01-2016,2016
524,59,296.1100626,01-02-2016,2016
525,59,452.9389178,01-03-2016,2016
526,59,607.0967268,01-04-2016,2016
527,59,974.3189343,01-05-2016,2016
528,59,226.7023816,01-06-2016,2016
529,59,510.877252,01-07-2016,2016
530,59,601.6433034,01-08-2016,2016
531,59,231.770052,01-09-2016,2016
532,60,294.9350797,01-01-2016,2016
533,60,686.8244428,01-02-2016,2016
534,60,231.6322826,01-03-2016,2016
535,60,510.8725469,01-04-2016,2016
536,60,301.6837249,01-05-2016,2016
537,60,694.8565486,01-06-2016,2016
538,60,544.357258,01-07-2016,2016
539,60,615.1019865,01-08-2016,2016
540,60,155.527836,01-09-2016,2016
541,61,385.6933152,01-01-2016,2016
542,61,186.3911832,01-02-2016,2016
543,61,351.7717169,01-03-2016,2016
544,61,248.7209559,01-04-2016,2016
545,61,776.8393323,01-05-2016,2016
546,61,449.0252966,01-06-2016,2016
547,61,200.0247758,01-07-2016,2016
548,61,275.7487951,01-08-2016,2016
549,61,679.7629186,01-09-2016,2016
550,62,839.5652003,01-01-2016,2016
551,62,926.599602,01-02-2016,2016
552,62,640.8728253,01-03-2016,2016
553,62,751.4270902,01-04-2016,2016
554,62,223.0145825,01-05-2016,2016
