SWITCH,Enode,Enum,AddressId,NE1,NE2,NE3,NE4,NE5,NE6,NE7,NE8,NE9,NE10
SWITCH1,123,0,1,0,1,0,1,1,0,1,1,0,0
SWITCH1,124,1,1,0,1,0,1,0,1,1,0,1,0
SWITCH1,125,2,1,0,1,1,0,0,1,0,1,1,0
SWITCH1,126,0,1,1,0,0,1,1,0,1,0,0,1
SWITCH1,127,1,1,1,1,1,0,0,1,0,1,1,0
SWITCH1,127,2,1,1,1,1,1,1,1,1,1,1,1
SWITCH1,127,0,1,1,1,1,1,1,1,1,1,1,1
SWITCH1,127,1,1,1,1,1,1,1,1,1,1,1,1
SWITCH1,127,2,1,1,1,1,1,1,1,1,1,1,1
SWITCH1,127,0,1,1,1,1,1,1,1,1,1,1,1
SWITCH1,127,1,1,1,1,1,1,1,1,1,1,1,1
SWITCH1,127,2,1,1,1,1,1,1,1,1,1,1,1
SWITCH1,127,0,1,1,1,1,1,1,1,1,1,1,1
SWITCH1,127,1,1,1,1,1,1,1,1,1,1,1,1
SWITCH1,127,2,1,1,1,1,1,1,1,1,1,1,1
SWITCH1,127,0,1,1,1,1,1,1,1,1,1,1,1
SWITCH1,128,1,1,1,0,1,0,1,0,1,1,0,1
SWITCH1,129,2,1,0,1,0,1,1,0,1,1,0,0
SWITCH1,130,0,1,0,1,0,1,0,1,1,0,1,0
SWITCH1,131,1,2,0,1,1,0,0,1,0,1,1,0
SWITCH1,131,2,2,0,0,0,0,0,0,0,0,0,0
SWITCH1,131,0,2,0,0,0,0,0,0,0,0,0,0
SWITCH1,131,1,2,0,0,0,0,0,0,0,0,0,0
SWITCH1,131,2,2,0,0,0,0,0,0,0,0,0,0
SWITCH1,131,0,2,0,0,0,0,0,0,0,0,0,0
SWITCH1,131,1,2,0,0,0,0,0,0,0,0,0,0
SWITCH1,131,2,2,0,0,0,0,0,0,0,0,0,0
SWITCH1,131,0,2,0,0,0,0,0,0,0,0,0,0
SWITCH1,131,1,2,0,0,0,0,0,0,0,0,0,0
SWITCH1,131,2,2,0,0,0,0,0,0,0,0,0,0
SWITCH1,131,0,2,0,0,0,0,0,0,0,0,0,0
SWITCH1,131,1,2,0,0,0,0,0,0,0,0,0,0
SWITCH1,131,2,2,0,0,0,0,0,0,0,0,0,0
